make,model,first_year,last_year
Allstate,A-230,1952,1953
Allstate,A-240,1952,1953
AM_General,DJ5,1969,1974
AM_General,FJ8,1973,1974
AM_General,Hummer,1992,2001
American_Austin,American_Austin,1930,1935
American_Bantam,May-75,1936,1937
American_Bantam,Model_60,1938,1939
American_Bantam,Model_62,1939,1939
American_Bantam,Model_65,1940,1941
American_Motors,Ambassador,1958,1974
American_Motors,American,1958,1968
American_Motors,AMX,1968,1980
American_Motors,Classic,1961,1966
American_Motors,Concord,1978,1983
American_Motors,Custom,1961,1962
American_Motors,Deluxe,1961,1962
American_Motors,Eagle,1980,1988
American_Motors,Gremlin,1970,1978
American_Motors,Hornet,1970,1977
American_Motors,Javelin,1968,1974
American_Motors,Marlin,1965,1967
American_Motors,Matador,1971,1978
American_Motors,Pacer,1975,1980
American_Motors,Rambler,1958,1969
American_Motors,Rebel,1958,1970
American_Motors,Rogue,1966,1966
American_Motors,Spirit,1979,1983
American_Motors,Super_Six,1961,1962
Apollo,GT,1962,1965
Apperson,Eight,1925,1926
Apperson,Six,1925,1926
Auburn,Model_115,1928,1929
Auburn,Model_12-160,1932,1932
Auburn,Model_12-160A,1932,1932
Auburn,Model_12-161,1933,1933
Auburn,Model_12-161A,1933,1933
Auburn,Model_12-165,1933,1933
Auburn,Model_120,1929,1929
Auburn,Model_125,1930,1930
Auburn,Model_1250,1934,1934
Auburn,Model_30L,1912,1912
Auburn,Model_33L,1913,1913
Auburn,Model_33M,1913,1913
Auburn,Model_35L,1912,1912
Auburn,Model_4-36,1915,1917
Auburn,Model_4-38,1916,1916
Auburn,Model_4-40,1914,1914
Auburn,Model_4-41,1914,1914
Auburn,Model_4-43,1915,1915
Auburn,Model_4-44,1926,1926
Auburn,Model_40A,1913,1913
Auburn,Model_40H,1912,1912
Auburn,Model_40L,1913,1913
Auburn,Model_40M,1912,1912
Auburn,Model_40N,1912,1912
Auburn,Model_45,1913,1913
Auburn,Model_45B,1913,1913
Auburn,Model_50,1913,1913
Auburn,Model_6-38,1916,1916
Auburn,Model_6-39,1917,1921
Auburn,Model_6-40,1915,1916
Auburn,Model_6-43,1923,1925
Auburn,Model_6-44,1917,1918
Auburn,Model_6-45,1914,1914
Auburn,Model_6-46,1914,1914
Auburn,Model_6-47,1915,1915
Auburn,Model_6-50,1912,1912
Auburn,Model_6-51,1923,1923
Auburn,Model_6-63,1923,1924
Auburn,Model_6-653,1935,1935
Auburn,Model_6-654,1936,1936
Auburn,Model_6-66,1925,1928
Auburn,Model_6-80,1929,1929
Auburn,Model_6-85,1930,1930
Auburn,Model_652X,1934,1934
Auburn,Model_652Y,1934,1934
Auburn,Model_76,1929,1929
Auburn,Model_8-100,1932,1932
Auburn,Model_8-100A,1932,1932
Auburn,Model_8-101,1933,1933
Auburn,Model_8-101A,1933,1933
Auburn,Model_8-105,1933,1933
Auburn,Model_8-36,1925,1925
Auburn,Model_8-77,1927,1928
Auburn,Model_8-851,1935,1935
Auburn,Model_8-852,1936,1936
Auburn,Model_8-88,1925,1928
Auburn,Model_8-90,1929,1929
Auburn,Model_8-95,1930,1930
Auburn,Model_8-98,1931,1931
Auburn,Model_8-98A,1931,1931
Auburn,Model_850X,1934,1934
Auburn,Model_850Y,1934,1934
Auburn,Model_88,1928,1929
Auburn,Model_A,1904,1904
Auburn,Model_B,1905,1910
Auburn,Model_C,1906,1910
Auburn,Model_D,1907,1910
Auburn,Model_F,1911,1911
Auburn,Model_G,1908,1911
Auburn,Model_H,1908,1910
Auburn,Model_K,1908,1911
Auburn,Model_L,1911,1922
Auburn,Model_M,1911,1911
Auburn,Model_N,1911,1911
Auburn,Model_R,1910,1910
Auburn,Model_S,1910,1910
Auburn,Model_T,1911,1911
Auburn,Model_Union_4-36,1916,1916
Auburn,Model_X,1910,1910
Auburn,Model_Y,1911,1911
Auburn,Second_Series_Model_76,1928,1928
Avanti,Avanti,2005,2007
Avanti,II,1965,2004
Biddle,Model_B-1,1920,1922
Biddle,Model_D,1915,1919
Blackhawk,L-6,1929,1930
Blackhawk,L-8,1929,1930
Buick,Allure,2005,2010
Buick,Apollo,1973,1975
Buick,Centurion,1971,1973
Buick,Century,1954,2005
Buick,Century_Series_60,1936,1942
Buick,Commercial_Chassis,1991,1996
Buick,Electra,1959,1990
Buick,Enclave,2008,2015
Buick,Encore,2013,2015
Buick,Estate_Wagon,1959,1983
Buick,Gran_Sport,1965,1967
Buick,GS,1970,1972
Buick,GS_350,1968,1969
Buick,GS_400,1968,1969
Buick,GS_455,1970,1972
Buick,Invicta,1959,1963
Buick,LaCrosse,2005,2015
Buick,LeSabre,1959,2005
Buick,Limited,1958,1958
Buick,Limited_Series_80,1940,1940
Buick,Limited_Series_90,1935,1942
Buick,Lucerne,2006,2011
Buick,Model_10,1909,1910
Buick,Model_16,1910,1910
Buick,Model_31,1913,1913
Buick,Model_6A,1909,1909
Buick,Opel,1976,1979
Buick,Park_Avenue,1991,2005
Buick,Rainier,2004,2007
Buick,Reatta,1988,1991
Buick,Regal,1973,2015
Buick,Rendezvous,2002,2007
Buick,Riviera,1963,1999
Buick,Roadmaster,1950,1996
Buick,Roadmaster_Series_70,1940,1949
Buick,Roadmaster_Series_80,1936,1940
Buick,Roadmaster_Series_90,1936,1939
Buick,Series_40,1930,1935
Buick,Series_50,1930,1935
Buick,Series_60,1930,1935
Buick,Series_80,1931,1933
Buick,Series_90,1931,1935
Buick,Series_K,1920,1920
Buick,Skyhawk,1975,1989
Buick,Skylark,1954,1998
Buick,Somerset,1986,1987
Buick,Somerset_Regal,1985,1985
Buick,Special,1950,1969
Buick,Special_40,1936,1940
Buick,Special_Series_40,1946,1949
Buick,Special_Series_40-A,1941,1942
Buick,Special_Series_40-B,1941,1942
Buick,Sportwagon,1964,1972
Buick,Standard_Six,1928,1928
Buick,Super,1950,1958
Buick,Super_Series_50,1940,1949
Buick,Terraza,2005,2007
Buick,Verano,2012,2015
Buick,Wildcat,1962,1970
Cadillac,341,1926,1927
Cadillac,341_A,1928,1928
Cadillac,341_B,1929,1929
Cadillac,353,1930,1930
Cadillac,355_A,1931,1931
Cadillac,355_B,1932,1932
Cadillac,355_C,1933,1933
Cadillac,355_D,1934,1935
Cadillac,370,1930,1930
Cadillac,370_A,1931,1931
Cadillac,370_B,1932,1932
Cadillac,370_C,1933,1933
Cadillac,370_D,1934,1935
Cadillac,452,1930,1930
Cadillac,452_A,1931,1931
Cadillac,452_B,1932,1932
Cadillac,452_C,1933,1933
Cadillac,452_D,1934,1935
