Ware,most_recent_age (BP),oldest_age (BP),trait
Brown_Ware_A,66,265,1
Brown_Ware_A,66,265,5
Brown_Ware_A,66,265,3
Brown_Ware_A,1130,1265,5
Brown_Ware_A,1130,1265,1
Brown_Ware_A,1165,1365,2
Brown_Ware_A,1165,1365,2
Brown_Ware_A,1165,1365,5
Brown_Ware_A,1165,1365,4
Brown_Ware_A,1165,1365,3
Brown_Ware_A,1165,1365,5
Brown_Ware_A,1165,1365,5
Brown_Ware_A,1365,1490,2
Brown_Ware_A,1150,1265,3
Brown_Ware_A,1130,1265,5
Brown_Ware_A,765,1465,3
Brown_Ware_A,765,1465,3
Brown_Ware_A,765,1465,5
Brown_Ware_A,765,1465,2
Brown_Ware_A,765,1465,2
Brown_Ware_A,765,1465,1
Plain_Ware_A,1765,1915,5
Plain_Ware_A,1765,1915,1
Plain_Ware_A,1765,1915,4
Plain_Ware_A,1765,1915,5
Plain_Ware_A,1765,1915,1
Gray_Ware_A,1165,1365,2
Gray_Ware_A,990,1215,1
Gray_Ware_A,940,1015,5
Gray_Ware_A,1165,1365,2
Gray_Ware_A,990,1215,2
Gray_Ware_A,955,1065,4
Gray_Ware_A,1165,1365,4
Gray_Ware_A,990,1215,4
Gray_Ware_A,955,1065,3
Gray_Ware_A,940,1015,4
Gray_Ware_A,1165,1365,4
Gray_Ware_A,990,1215,2
Gray_Ware_A,1165,1365,2
Gray_Ware_A,990,1215,2
Gray_Ware_A,1165,1365,3
Gray_Ware_A,990,1215,5
Gray_Ware_A,940,1015,3
Gray_Ware_A,1165,1365,3
Gray_Ware_A,990,1215,1
Gray_Ware_A,940,1015,2
Gray_Ware_A,990,1215,4
Gray_Ware_A,1165,1365,1
Gray_Ware_A,990,1215,4
Gray_Ware_A,1165,1365,3
Gray_Ware_A,990,1215,2
Gray_Ware_A,1165,1365,3
Gray_Ware_A,990,1215,4
Gray_Ware_A,955,1365,1
Gray_Ware_A,955,1365,2
Gray_Ware_A,1165,1365,5
Gray_Ware_A,990,1215,4
Gray_Ware_A,765,915,1
Gray_Ware_A,1165,1365,5
Gray_Ware_A,990,1215,1
Gray_Ware_A,955,1065,1
Gray_Ware_A,1165,1365,2
Gray_Ware_A,990,1215,5
Gray_Ware_A,955,1365,4
Gray_Ware_A,1165,1365,4
Gray_Ware_A,990,1215,5
Gray_Ware_A,1165,1365,4
Gray_Ware_A,990,1215,1
Gray_Ware_A,955,1365,4
Gray_Ware_A,1165,1365,2
Gray_Ware_A,990,1215,5
Gray_Ware_A,955,1065,4
Gray_Ware_A,1165,1365,1
Gray_Ware_A,990,1215,4
Gray_Ware_A,1165,1365,1
Gray_Ware_A,990,1215,2
Gray_Ware_A,865,915,2
Gray_Ware_A,765,915,4
Gray_Ware_A,1165,1365,3
Gray_Ware_A,990,1215,5
Gray_Ware_A,865,915,2
Gray_Ware_A,765,915,2
Gray_Ware_A,1165,1365,2
Gray_Ware_A,990,1215,1
Gray_Ware_A,765,915,4
Gray_Ware_A,1165,1365,1
White_Ware_A,1215,1365,4
White_Ware_A,1165,1340,4
White_Ware_A,1040,1190,2
White_Ware_A,965,1140,1
White_Ware_A,965,1065,3
White_Ware_A,965,1065,2
White_Ware_A,1215,1365,4
White_Ware_A,965,1140,2
White_Ware_A,965,1065,2
White_Ware_A,1215,1365,5
White_Ware_A,965,1140,2
White_Ware_A,965,1065,2
White_Ware_A,965,1065,3
White_Ware_A,865,965,3
White_Ware_A,1215,1365,5
White_Ware_A,1165,1340,1
White_Ware_A,1215,1365,2
White_Ware_A,1165,1340,3
White_Ware_A,1040,1190,1
White_Ware_A,1065,1190,2
White_Ware_A,965,1140,3
White_Ware_A,1215,1365,1
White_Ware_A,1165,1340,3
White_Ware_A,1040,1190,3
White_Ware_A,965,1140,1
White_Ware_A,965,1065,1
White_Ware_A,965,1065,1
White_Ware_A,1165,1340,1
White_Ware_A,1040,1190,1
White_Ware_A,1065,1190,5
White_Ware_A,965,1140,3
White_Ware_A,965,1065,5
White_Ware_A,965,1065,5
White_Ware_A,1165,1340,2
White_Ware_A,1040,1190,5
White_Ware_A,1065,1190,4
White_Ware_A,925,1065,2
White_Ware_A,1215,1365,2
White_Ware_A,1165,1340,1
White_Ware_A,1040,1190,5
White_Ware_A,1065,1190,5
White_Ware_A,1165,1340,1
White_Ware_A,1040,1190,4
White_Ware_A,1065,1190,3
White_Ware_A,925,1065,5
White_Ware_A,1165,1340,3
White_Ware_A,1040,1190,5
White_Ware_A,1065,1190,3
White_Ware_A,925,1065,5
White_Ware_A,965,1140,4
White_Ware_A,965,1065,3
White_Ware_A,1215,1365,4
White_Ware_A,1165,1340,5
White_Ware_A,1040,1190,3
White_Ware_A,1065,1190,5
White_Ware_A,1215,1365,4
White_Ware_A,1165,1340,3
White_Ware_A,1065,1190,5
White_Ware_A,925,1065,2
White_Ware_A,965,1140,5
White_Ware_A,965,1065,1
White_Ware_A,965,1065,3
White_Ware_A,1215,1365,5
White_Ware_A,1165,1340,1
White_Ware_A,1040,1190,3
